iter	RMSE
0	14.63537887
1	14.26370176
2	13.92758148
3	13.59362178
4	13.27443343
5	12.96027092
6	12.63436583
7	12.33518661
8	12.04426205
9	11.74689447
10	11.52881261
11	11.2567715
12	10.99304484
13	10.74369815
14	10.50357756
15	10.29265223
16	10.08253318
17	9.875002484
18	9.669227222
19	9.502041592
20	9.333438799
21	9.158402976
22	9.01127314
23	8.842911651
24	8.685319424
25	8.574584951
26	8.444432041
27	8.303416232
28	8.159635204
29	8.035238492
30	7.91340569
31	7.80285218
32	7.69493781
33	7.593425413
34	7.500965611
35	7.40570188
36	7.31689073
37	7.239526558
38	7.167721638
39	7.0952911
40	7.014516854
41	6.937514028
42	6.868338189
43	6.809007149
44	6.734008135
45	6.670196112
46	6.606362103
47	6.548902346
48	6.492552327
49	6.438496191
50	6.386812858
51	6.342146576
52	6.29864574
53	6.258392673
54	6.218224998
55	6.179499844
56	6.144901912
57	6.104976432
58	6.075818238
59	6.043574419
60	6.007789095
61	5.977173201
62	5.940346191
63	5.910172627
64	5.882562677
65	5.853569095
66	5.830307356
67	5.804624514
68	5.785971861
69	5.761995414
70	5.736353107
71	5.714517202
72	5.700706729
73	5.678396778
74	5.6568422
75	5.636442423
76	5.620367111
77	5.605616204
78	5.589012018
79	5.571886627
80	5.555883958
81	5.539860681
82	5.52349993
83	5.509669655
84	5.495840596
85	5.478540802
86	5.464408049
87	5.454196349
88	5.444626674
89	5.429807815
90	5.41986013
91	5.413438025
92	5.399878828
93	5.385889389
94	5.375677269
95	5.366065302
96	5.355176723
97	5.346163483
98	5.33665787
99	5.326478111
100	5.314822686
101	5.30682515
102	5.300748638
103	5.290875462
104	5.284325679
105	5.277314248
106	5.266004603
107	5.260653382
108	5.254397054
109	5.244729442
110	5.238289435
111	5.229752461
112	5.224202207
113	5.21837594
114	5.211474558
115	5.204849768
116	5.198469548
117	5.193320876
118	5.186753018
119	5.181735463
120	5.1751808
121	5.169636306
122	5.166132557
123	5.161735089
124	5.156234683
125	5.150158062
126	5.145160239
127	5.135912055
128	5.131911638
129	5.122533326
130	5.117877241
131	5.113207138
132	5.111506426
133	5.103438517
134	5.098255448
135	5.097927261
136	5.094380647
137	5.090600403
138	5.083418344
139	5.076017156
140	5.06975288
141	5.065149696
142	5.061602715
143	5.058396926
144	5.053826583
145	5.04857648
146	5.043357331
147	5.040070973
148	5.036342638
149	5.035297037
150	5.029569754
151	5.025198857
152	5.0213635
153	5.014841469
154	5.012188761
155	5.005116594
156	4.999268834
157	4.997025372
158	4.994311851
159	4.989639312
160	4.982686182
161	4.976521022
162	4.970285508
163	4.964311906
164	4.9582209
165	4.954494558
166	4.948855247
167	4.944491714
168	4.942355031
169	4.940184073
170	4.937168464
171	4.932048168
172	4.926546246
173	4.920947894
174	4.919105065
175	4.914340593
176	4.910201537
177	4.905162667
178	4.900837583
179	4.897971344
180	4.893220188
181	4.888881877
182	4.884802373
183	4.877259194
184	4.873261397
185	4.868629335
186	4.864581654
187	4.86195277
188	4.856943389
189	4.852358766
190	4.846838425
191	4.841617149
192	4.838226591
193	4.833571055
194	4.828059628
195	4.827843801
196	4.822918758
197	4.818516591
198	4.816811351
199	4.815823553
200	4.812861717
201	4.809939047
202	4.806696118
203	4.802090803
204	4.79841429
205	4.795592382
206	4.793515636
207	4.789905582
208	4.785868376
209	4.783219084
210	4.778033755
211	4.77655897
212	4.774276733
213	4.773044946
214	4.771219093
215	4.767192998
216	4.762629762
217	4.757208678
218	4.754198362
219	4.751728621
220	4.747396104
221	4.744276228
222	4.741249667
223	4.737479502
224	4.732876726
225	4.730421056
226	4.725847415
227	4.723162468
228	4.71908656
229	4.717230823
230	4.714233396
231	4.71228878
232	4.70866079
233	4.704299836
234	4.698414676
235	4.693673858
236	4.692478038
237	4.68876396
238	4.684953086
239	4.683124495
240	4.680819714
241	4.678427572
242	4.673259235
243	4.669741837
244	4.666202303
245	4.662547863
246	4.659444802
247	4.656740608
248	4.653989392
249	4.649719242
250	4.646219043
251	4.642063806
252	4.638469527
253	4.636626739
254	4.634787928
255	4.631718423
256	4.626331678
257	4.621417675
258	4.617792471
259	4.615228194
260	4.613659818
261	4.612562043
262	4.612508028
263	4.610970855
264	4.607767379
265	4.604896113
266	4.601451061
267	4.597720131
268	4.592084625
269	4.586429774
270	4.585456168
271	4.582854713
272	4.580645771
273	4.580108883
274	4.577465685
275	4.577139761
276	4.572926167
277	4.56925818
278	4.566918149
279	4.563462317
280	4.560956501
281	4.559901285
282	4.556167135
283	4.555171046
284	4.552172903
285	4.549514474
286	4.547396883
287	4.542713916
288	4.541923463
289	4.540429362
290	4.535802091
291	4.533621576
292	4.53343401
293	4.52938278
294	4.525611885
295	4.523123724
296	4.519784114
297	4.515962336
298	4.512546842
299	4.510045027
300	4.504841882
301	4.504526788
302	4.50353199
303	4.498866325
304	4.494382792
305	4.490213495
306	4.487938365
307	4.4847472
308	4.482558026
309	4.477909407
310	4.472533345
311	4.467024492
312	4.460478896
313	4.457546073
314	4.453868803
315	4.453185236
316	4.451009551
317	4.450833655
318	4.44729548
319	4.443898696
320	4.442094074
321	4.43741335
322	4.434430049
323	4.427367394
324	4.423333038
325	4.420869579
