iter	Passed	Remaining
0	5	5010
1	9	4880
2	22	7458
3	25	6450
4	28	5703
5	31	5294
6	37	5307
7	43	5455
8	48	5362
9	55	5475
10	75	6825
11	82	6827
12	86	6595
13	95	6747
14	101	6657
15	105	6504
16	110	6378
17	115	6305
18	119	6164
19	153	7507
20	168	7832
21	172	7680
22	176	7486
23	184	7485
24	187	7306
25	190	7151
26	196	7084
27	200	6969
28	204	6833
29	231	7469
30	234	7340
31	240	7289
32	243	7139
33	247	7029
34	255	7055
35	259	6943
36	262	6831
37	267	6781
38	272	6721
39	276	6629
40	280	6550
41	284	6478
42	287	6404
43	291	6340
44	302	6420
45	305	6340
46	308	6261
47	312	6203
48	316	6135
49	320	6084
50	324	6032
51	328	5980
52	333	5957
53	336	5897
54	339	5838
55	343	5793
56	348	5773
57	353	5736
58	358	5717
59	362	5672
60	365	5622
61	368	5574
62	372	5536
63	376	5499
64	379	5456
65	382	5407
66	387	5400
67	395	5424
68	404	5456
69	409	5442
70	412	5403
71	416	5369
72	420	5337
73	423	5304
74	427	5266
75	429	5226
76	434	5207
77	439	5196
78	443	5165
79	451	5193
80	455	5168
81	458	5134
82	463	5122
83	467	5102
84	471	5071
85	474	5039
86	477	5014
87	481	4988
88	484	4955
89	486	4923
90	490	4899
91	494	4876
92	497	4848
93	499	4816
94	502	4784
95	505	4759
96	510	4750
97	513	4725
98	515	4696
99	518	4666
100	521	4645
101	525	4627
102	528	4600
103	530	4573
104	533	4550
105	537	4537
106	541	4517
107	544	4495
108	547	4474
109	553	4475
110	558	4472
111	561	4455
112	566	4443
113	570	4434
114	574	4417
115	577	4402
116	580	4380
117	584	4365
118	587	4348
119	590	4328
120	592	4307
121	596	4294
122	600	4281
123	603	4266
124	607	4253
125	612	4245
126	615	4233
127	618	4216
128	621	4196
129	625	4184
130	629	4172
131	633	4163
132	635	4143
133	638	4127
134	642	4115
135	643	4089
136	649	4088
137	652	4073
138	655	4060
139	660	4055
140	664	4045
141	668	4036
142	672	4028
143	675	4016
144	679	4005
145	682	3989
146	685	3977
147	689	3967
148	693	3960
149	696	3944
150	699	3933
151	703	3926
152	707	3915
153	709	3900
154	713	3890
155	718	3885
156	721	3873
157	724	3861
158	727	3849
159	732	3843
160	736	3835
161	740	3831
162	743	3819
163	748	3816
164	752	3809
165	757	3803
166	759	3790
167	767	3801
168	771	3792
169	774	3783
170	778	3776
171	783	3770
172	785	3757
173	788	3742
174	791	3732
175	795	3724
176	798	3712
177	801	3700
178	804	3689
179	807	3679
180	811	3672
181	814	3660
182	817	3648
183	820	3638
184	823	3629
185	827	3622
186	830	3612
187	835	3608
188	840	3607
189	843	3597
190	847	3588
191	850	3581
192	855	3578
193	859	3569
194	861	3558
195	863	3540
196	866	3532
197	870	3524
198	873	3516
199	876	3507
200	879	3497
201	884	3494
202	887	3485
203	890	3475
204	893	3464
205	897	3457
206	900	3448
207	902	3438
208	905	3428
209	908	3419
210	912	3413
211	917	3409
212	920	3400
213	923	3392
214	926	3384
215	932	3385
216	936	3377
217	939	3368
218	943	3364
219	948	3363
220	951	3354
221	954	3346
222	958	3340
223	962	3336
224	966	3327
225	969	3319
226	973	3313
227	977	3310
228	980	3302
229	984	3294
230	987	3288
231	991	3281
232	994	3273
233	997	3265
234	1001	3260
235	1005	3255
236	1008	3247
237	1011	3238
238	1014	3229
239	1018	3226
240	1022	3218
241	1025	3210
242	1028	3203
243	1035	3206
244	1038	3200
245	1041	3192
246	1044	3184
247	1051	3189
248	1055	3182
249	1058	3174
250	1061	3168
251	1065	3163
252	1069	3156
253	1072	3149
254	1075	3141
255	1080	3141
256	1084	3133
257	1086	3126
258	1091	3121
259	1097	3123
260	1100	3116
261	1104	3112
262	1107	3102
263	1110	3095
